customer_id,first_name,last_name,email,phone,address,city,state,zip,date_of_birth,created_at
10001,Daniel,Johnson,daniel.johnson@hotmail.com,(663) 193-1491,8651 Smith Manor,Garciastad,tx,83808,09/28/1961,2025-06-04 18:57:01
10002,Jasmine,Graham,jasmine.graham@hotmail.com,+1 498.776.9453,7379 Rogers Park,Hunterborough,WA,47008,1990-06-13,2023-09-18 02:27:07
10003,Matthew,Beard,matthew.beard@yahoo.com,8083136783,770 Kelly Lodge Apt. 495,Transtad,IL,56272,03/25/1988,2026-03-13 10:14:20
10004,Mark,Warner,mark.warner@yahoo.com,4313518233,9894 Marissa Hill Apt. 524,Lake Amandaview,NY,06466,12/13/1958,2021-12-23 20:03:16
10005,Angela,Terry,angela.terry@hotmail.com,710-947-7752,7116 Jones Roads,East Edwardshire,New York,40325,1949-02-08,2022-03-29 01:50:54
10006,Victoria,Wilson,victoria.wilson@yahoo.com,(999) 386-7749,9909 Stacey Fords Apt. 412,East Andrea,Illinois,21018,07/14/1992,2021-07-15 17:48:59
10007,Ricky,Norris,ricky.norris@yahoo.com,(034) 471-3493,83242 Brian Turnpike Suite 994,Martinezport,AZ,92216,06/28/1972,2024-12-08 23:30:37
10008,Sherri,Mason,sherri.mason@yahoo.com,190-659-4013,490 Thomas Run,Moonburgh,washington ,77221,02/12/1974,2025-03-22 16:14:24
10009,Cynthia,Vasquez,cynthia.vasquez@yahoo.com,5655125674,071 King Crescent Suite 808,Gutierrezborough,arizona ,68453,09/21/1946,2024-08-04 10:31:27
10010,Cindy,Jimenez,,348-247-7109,248 Andrea Course,Port Robin,FL,60983,08/05/1970,2022-07-07 09:12:38
10011,Deborah,Moore,deborah.moore@hotmail.com,4846773782,98214 Morgan Turnpike Suite 044,Grimesmouth,tx,71093,12/25/2003,2025-08-20 05:24:41
10012,Michael,Arnold,michael.arnold@yahoo.com,+1 753.396.3605,662 Hanna Crossroad Suite 171,Smithberg,florida ,54237,1977-06-30,2022-10-30 00:18:24
10013,Charles,Harrington,charles.harrington@yahoo.com,9615865780,43161 Scott Square,Rebeccaton,colorado ,43017,07/20/1958,2021-12-28 18:51:10
10014,Kelly,Brooks,kelly.brooks@gmail.com,(869) 222-1969,9237 Stevens Shores,Port Stevenport,california ,89316,06/03/1950,2026-03-01 15:36:41
10015,Eric,Alexander,eric.alexander@hotmail.com,+1 464.743.6713,594 Johnson Village Suite 409,New Julieport,new york ,30663,01/12/1964,2024-07-06 01:15:16
10016,Jeffery,Lee,jeffery.lee@hotmail.com,+1 210.470.9521,6232 Schmidt Groves Apt. 474,Lindamouth,TX,10370,1957-07-27,2022-09-17 17:54:13
10017,Karen,Perez,karen.perez@hotmail.com,685-160-4817,496 Rodriguez Fort Suite 098,Rosebury,new york ,85390,07/16/1986,2022-01-19 20:06:15
10018,Cynthia,Marshall,cynthia.marshall@yahoo.com,612-004-7113,7586 Nicole Shoal,Port Tracychester,CO,37167,03/22/1988,2021-10-17 01:48:12
10019,Hannah,Robinson,hannah.robinson@gmail.com,5158506431,39005 Vanessa Turnpike Apt. 183,Port Molly,colorado ,43565,1970-10-10,2022-10-08 20:44:13
10020,Kristina,Carlson,kristina.carlson@gmail.com,(284) 210-2053,24026 Julie Mountains Suite 589,South Williamton,IL,95822,1959-05-20,2025-12-13 12:31:16
10021,Kevin,Schneider,kevin.schneider@gmail.com,766-177-1159,24998 James Ranch,Shawnchester,CA,13500,1942-08-20,2022-06-27 21:37:53
10022,Melissa,Curtis,melissa.curtis@hotmail.com,367-365-7661,5452 Jones Village Apt. 161,Lisaside,CO,08362,11/03/1992,2026-07-03 12:18:21
10023,Sue,Hoffman,,(656) 049-4519,73158 Wilson Harbors,Port Roy,Colorado,74027,02/09/1986,2026-04-02 03:49:32
10024,Anthony,Hickman,anthony.hickman@hotmail.com,4024455022,20183 Barnes Junctions Apt. 545,North Ericton,co,88839,12/16/1996,2022-03-17 21:27:35
10025,Joseph,Stanley,joseph.stanley@hotmail.com,(764) 381-5614,403 Joyce Centers Apt. 343,Port Jonathan,california ,43508,1973-07-25,2022-07-15 04:58:54
10026,Adrian,Burgess,adrian.burgess@gmail.com,6838851606,1596 Mckinney Mall,Dariustown,New York,43069,06/20/1952,2022-12-23 10:05:36
10027,Laurie,Montgomery,laurie.montgomery@hotmail.com,5161369681,5352 William Crescent Apt. 552,North Dwayne,California,26357,02/18/1997,2022-12-28 11:19:30
10028,Carrie,Wolf,carrie.wolf@gmail.com,(277) 997-9955,1774 Vargas Knoll,West Steventon,tx,07957,02/13/1985,2024-08-26 01:22:06
10029,Marie,Jones,marie.jones@gmail.com,9986798079,9782 Shannon Valleys,Toniland,Arizona,66633,04/30/1999,2022-12-25 13:13:31
10030,Benjamin,Zimmerman,benjamin.zimmerman@yahoo.com,8892554665,515 Angela Lights,Johnathanberg,CA,44195,12/14/2007,2022-03-17 15:31:43
10031,Brandi,Thomas,brandi.thomas@yahoo.com,+1 629.148.6528,685 Michael Falls,West Stacey,CO,64237,04/26/1964,2023-02-23 23:14:53
10032,Jeremy,Taylor,jeremy.taylor@yahoo.com,188-805-9296,29270 Diaz Stravenue,South Cheryl,co,99118,10/06/1945,2025-05-02 04:47:43
10033,Jesus,Allen,jesus.allen@yahoo.com,(359) 774-6886,92407 Spencer Cove,West Christopherburgh,il,36256,2006-03-23,2025-05-03 09:58:09
10034,Rebecca,Hernandez,rebecca.hernandez@gmail.com,+1 375.060.6853,53051 Moody Dam Apt. 472,Westtown,ny,10885,04/14/1970,2021-09-04 11:19:58
10035,Jonathan,Conley,,9861434103,971 Mary Parks Apt. 893,West Ruben,co,81085,11/10/1977,2024-07-07 14:10:15
10036,John,Butler,,+1 185.188.8880,0654 Michael Cliff Suite 319,Dennisstad,fl,72068,09/22/1985,2024-05-24 06:12:48
10037,Lisa,Thompson,lisa.thompson@hotmail.com,772-217-0430,54868 King Terrace,West Michael,FL,06766,1993-07-14,2024-05-03 16:23:55
10038,Joshua,Lloyd,joshua.lloyd@yahoo.com,7652775841,69284 Garcia Islands Suite 479,Jacksonmouth,illinois ,46578,1970-04-01,2025-04-26 14:42:15
10039,Bobby,Berg,bobby.berg@hotmail.com,6401658202,21355 Herring Bypass Apt. 755,Hinesshire,New York,18548,1964-07-03,2026-01-07 09:41:26
10040,Michael,Edwards,michael.edwards@gmail.com,+1 102.786.8144,94731 Melissa Mission Apt. 715,Jennaside,texas ,71564,1959-06-24,2023-12-26 13:16:51
10041,Patricia,York,patricia.york@hotmail.com,(258) 313-2370,957 Cheryl Corners Apt. 467,Hammondshire,Florida,10167,12/14/1988,2022-07-31 19:20:32
10042,Teresa,Day,teresa.day@yahoo.com,(852) 892-2680,242 Marcus Station,West Stacey,Washington,68513,1971-02-19,2023-12-06 22:28:38
10043,Meghan,King,meghan.king@hotmail.com,424-981-8299,99590 Christopher Row,Debrashire,florida ,55103,1983-09-24,2021-10-09 12:34:50
10044,Tyler,Burton,tyler.burton@hotmail.com,4736471027,7359 Larry Stravenue Suite 562,Zacharyville,CO,42328,1960-03-23,2023-07-28 11:34:54
10045,Steven,Adams,steven.adams@gmail.com,1046963259,27877 Jimenez Course Suite 873,New Michael,arizona ,07125,05/21/1957,2023-11-28 13:44:57
10046,Troy,Khan,troy.khan@hotmail.com,748-016-2456,60983 Tran Cliffs Suite 878,Marciaville,Texas,17365,01/13/1985,2022-05-03 19:23:39
